type,title,country,release_year,rating
Movie,Dick Johnson Is Dead,United States,2020,PG-13
TV Show,Blood & Water,South Africa,2021,TV-MA
TV Show,Ganglands,,2021,TV-MA
TV Show,Jailbirds New Orleans,,2021,TV-MA
TV Show,Kota Factory,India,2021,TV-MA
TV Show,Midnight Mass,,2021,TV-MA
Movie,My Little Pony: A New Generation,,2021,PG
Movie,Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1993,TV-MA
TV Show,The Great British Baking Show,United Kingdom,2021,TV-14
Movie,The Starling,United States,2021,PG-13
TV Show,"Vendetta: Truth, Lies and The Mafia",,2021,TV-MA
TV Show,Bangkok Breaking,,2021,TV-MA
Movie,Je Suis Karl,"Germany, Czech Republic",2021,TV-MA
Movie,Confessions of an Invisible Girl,,2021,TV-PG
TV Show,Crime Stories: India Detectives,,2021,TV-MA
TV Show,Dear White People,United States,2021,TV-MA
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,,2020,TV-MA
TV Show,Falsa identidad,Mexico,2020,TV-MA
Movie,Intrusion,,2021,TV-14
TV Show,Jaguar,,2021,TV-MA
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,,2021,TV-14
TV Show,Resurrection: Ertugrul,Turkey,2018,TV-14
Movie,Avvai Shanmughi,,1996,TV-PG
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,,2021,TV-Y
Movie,Jeans,India,1998,TV-14
TV Show,Love on the Spectrum,Australia,2021,TV-14
Movie,Minsara Kanavu,,1997,TV-PG
Movie,Grown Ups,United States,2010,PG-13
Movie,Dark Skies,United States,2013,PG-13
Movie,Paranoia,"United States, India, France",2013,PG-13
Movie,Ankahi Kahaniya,,2021,TV-14
TV Show,Chicago Party Aunt,,2021,TV-MA
TV Show,Sex Education,United Kingdom,2020,TV-MA
TV Show,Squid Game,,2021,TV-MA
TV Show,Tayo and Little Wizards,,2020,TV-Y7
Movie,The Father Who Moves Mountains,,2021,TV-MA
Movie,The Stronghold,,2021,TV-MA
TV Show,Angry Birds,Finland,2018,TV-Y7
Movie,Birth of the Dragon,"China, Canada, United States",2017,PG-13
TV Show,Chhota Bheem,India,2021,TV-Y7
TV Show,He-Man and the Masters of the Universe,United States,2021,TV-Y7
Movie,Jaws,United States,1975,PG
Movie,Jaws 2,United States,1978,PG
Movie,Jaws 3,United States,1983,PG
Movie,Jaws: The Revenge,United States,1987,PG-13
Movie,My Heroes Were Cowboys,,2021,PG
Movie,Safe House,"South Africa, United States, Japan",2012,R
TV Show,The Smart Money Woman,,2020,TV-MA
Movie,Training Day,United States,2001,R
TV Show,Castle and Castle,Nigeria,2021,TV-MA
TV Show,Dharmakshetra,India,2014,TV-PG
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Japan,2002,TV-14
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Japan,2003,TV-14
Movie,InuYasha the Movie 4: Fire on the Mystic Island,Japan,2004,TV-PG
Movie,InuYasha the Movie: Affections Touching Across Time,Japan,2001,TV-PG
TV Show,Nailed It,United States,2021,TV-PG
Movie,Naruto Shippuden the Movie: Blood Prison,Japan,2011,TV-14
Movie,Naruto Shippûden the Movie: Bonds,Japan,2008,TV-PG
Movie,Naruto Shippûden the Movie: The Will of Fire,Japan,2009,TV-PG
Movie,Naruto Shippuden: The Movie,Japan,2007,TV-PG
Movie,Naruto Shippuden: The Movie: The Lost Tower,Japan,2010,TV-14
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Japan,2005,TV-PG
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,2006,TV-PG
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Japan,2004,TV-PG
Movie,Nightbooks,,2021,TV-PG
TV Show,Numberblocks,United Kingdom,2021,TV-Y
TV Show,Raja Rasoi Aur Anya Kahaniyan,India,2014,TV-G
TV Show,Saved by the Bell,United States,1994,TV-PG
Movie,Schumacher,,2021,TV-14
TV Show,Stories by Rabindranath Tagore,India,2015,TV-PG
TV Show,Too Hot To Handle: Latino,,2021,TV-MA
Movie,A StoryBots Space Adventure,,2021,TV-Y
TV Show,Jack Whitehall: Travels with My Father,United Kingdom,2021,TV-MA
Movie,King of Boys,Nigeria,2018,TV-MA
TV Show,The World's Most Amazing Vacation Rentals,,2021,TV-PG
Movie,You vs. Wild: Out Cold,,2021,TV-G
TV Show,Yowamushi Pedal,Japan,2013,TV-14
Movie,Little Singham - Black Shadow,,2021,TV-Y7
Movie,Tughlaq Durbar,,2020,TV-14
Movie,Tughlaq Durbar (Telugu),,2021,TV-14
Movie,Firedrake the Silver Dragon,,2021,TV-Y7
Movie,Kate,United States,2021,R
TV Show,Lucifer,United States,2021,TV-14
TV Show,Metal Shop Masters,,2021,TV-MA
Movie,Omo Ghetto: the Saga,Nigeria,2020,TV-MA
TV Show,Pokémon Master Journeys: The Series,,2021,TV-Y7
Movie,Prey,,2021,TV-MA
TV Show,Titipo Titipo,,2019,TV-Y
Movie,Blood Brothers: Malcolm X & Muhammad Ali,,2021,PG-13
TV Show,Mighty Raju,,2017,TV-Y7
